sig_lev_1,sig_lev_2,count
A: Manuals,Aa,4984
A: Manuals,Ab,7421
A: Manuals,Ad,32
A: Manuals,Ae,205
A: Manuals,Af,237
A: Manuals,Ag,1040
A: Manuals,Ah,253
A: Manuals,Ai,262
A: Manuals,Ak,722
A: Manuals,Al,101
A: Manuals,Am,165
A: Manuals,An,814
A: Manuals,Aq,136
A: Manuals,Ar,249
A: Manuals,At,1261
A: Manuals,Ax,109
A: Manuals,Az,1186
B: Italian Art,Bb,4392
B: Italian Art,Be,11184
B: Italian Art,Bn,2631
B: Italian Art,Bo,541
B: Italian Art,Bp,1365
B: Italian Art,Bq,808
B: Italian Art,Br,1345
B: Italian Art,Bs,6152
B: Italian Art,Bt,2251
B: Italian Art,Bu,199
C: Italian Artists,Ca,16399
C: Italian Artists,Cm,27031
D: Rome,Db,109
D: Rome,De,4974
D: Rome,Dg,1605
D: Rome,Dm,1486
D: Rome,Dn,682
D: Rome,Do,137
D: Rome,Dp,293
D: Rome,Dr,2020
D: Rome,Dt,2407
D: Rome,Dv,1588
D: Rome,Dy,796
E: Italian Topography,E-,70342
F: Travel Literature,Fa,2061
F: Travel Literature,Ff,1975
G: Sources,Ga,290
G: Sources,Gd,488
G: Sources,Gf,233
G: Sources,Gg,47
G: Sources,Gi,21
G: Sources,Gm,43
G: Sources,Go,84
H: Iconography,Ha,2084
H: Iconography,Hd,917
H: Iconography,Hf,7
H: Iconography,Hh,3418
H: Iconography,Hm,4925
J: Ornament,J ,252
M: Art in General,Mb,8592
M: Art in General,Me,108
M: Art in General,Mg,1697
M: Art in General,Mk,6751
N: Architecture,Nb,422
N: Architecture,Ne,3285
N: Architecture,Nf,497
N: Architecture,Nh,126
N: Architecture,Nk,1106
N: Architecture,Nm,989
N: Architecture,No,1178
N: Architecture,Nr,491
N: Architecture,Nt,60
N: Architecture,Nv,95
N: Architecture,Nx,63
O: Sculpture,Ob,51
O: Sculpture,Oe,1175
O: Sculpture,Og,155
P: Painting,Pb,199
P: Painting,Pe,2921
P: Painting,Pg,349
P: Painting,Pm,200
Q: Manuscript Illumination,Qb,27
Q: Manuscript Illumination,Qe,5242
R: Graphic Arts,Rb,183
R: Graphic Arts,Rd,277
R: Graphic Arts,Rf,217
R: Graphic Arts,Rh,130
R: Graphic Arts,Rk,33
R: Graphic Arts,Rm,11
R: Graphic Arts,Ro,399
R: Graphic Arts,Rr,1041
R: Graphic Arts,Rv,458
S: Applied Arts,Sb,277
S: Applied Arts,Sd,243
S: Applied Arts,Sf,80
S: Applied Arts,Sh,240
S: Applied Arts,Sk,932
S: Applied Arts,Sm,78
S: Applied Arts,So,70
S: Applied Arts,Sr,332
S: Applied Arts,Ss,271
S: Applied Arts,St,239
S: Applied Arts,Sv,916
S: Applied Arts,Sx,21
S: Applied Arts,Sz,448
"T: Collecting Art, Museum Studies",Tf,870
"T: Collecting Art, Museum Studies",Tm,982
"T: Collecting Art, Museum Studies",Ts,741
U: Registers of Artistic Monuments,Ua,42
X: European Topography,Xa,112
X: European Topography,Xb,20
X: European Topography,Xc,12
X: European Topography,Xd,66
X: European Topography,Xi,6
X: European Topography,Xm,1
X: European Topography,Xp,9
X: European Topography,Xr,40
X: European Topography,Xs,1
X: European Topography,Xt,42
X: European Topography,Xw,1
X: European Topography,Xx,18
X: European Topography,Xy,31
Y: World Topography,Ya,47
Y: World Topography,Yb,10
Y: World Topography,Yc,13
Y: World Topography,Yg,1
Y: World Topography,Yp,33
Y: World Topography,Yu,1
Z: Related Disciplines,Zd,1
Z: Related Disciplines,Ze,8
Z: Related Disciplines,Zf,139
Z: Related Disciplines,Zg,7
Z: Related Disciplines,Zh,197
Z: Related Disciplines,Zi,20
Z: Related Disciplines,Zk,107
Z: Related Disciplines,Zl,24
Z: Related Disciplines,Zm,13
Z: Related Disciplines,Zo,20
Z: Related Disciplines,Zp,4
Z: Related Disciplines,Zs,11
Z: Related Disciplines,Zt,12
Z: Related Disciplines,Zu,53
