lang,usertype,count
alb,External,1
alb,Internal,2
ara,External,1
ara,Internal,2
baq,External,5
baq,Internal,2
bul,External,6
bul,Internal,2
cat,External,114
cat,Internal,113
chi,External,1
cze,External,69
cze,Internal,37
dan,External,51
dan,Internal,34
dut,External,838
dut,Internal,411
eng,External,49907
eng,Internal,26707
fin,External,33
fin,Internal,6
fre,External,16161
fre,Internal,7813
ger,External,23393
ger,Internal,17297
glg,External,1
gmh,External,5
gmh,Internal,2
grc,External,35
grc,Internal,27
gre,External,134
gre,Internal,55
hrv,External,94
hrv,Internal,32
hun,External,42
hun,Internal,11
ita,External,185850
ita,Internal,71637
jpn,External,26
jpn,Internal,6
lat,External,1300
lat,Internal,969
lit,External,58
lit,Internal,39
mac,External,12
mac,Internal,9
mul,External,182
mul,Internal,74
nds,External,4
nds,Internal,4
nep,External,2
nep,Internal,1
nor,External,10
nor,Internal,1
pol,External,98
pol,Internal,41
por,External,156
por,Internal,136
rum,External,104
rum,Internal,22
rus,External,103
rus,Internal,75
scr,External,6
scr,Internal,2
slo,External,13
slo,Internal,8
slv,External,10
slv,Internal,2
spa,External,2298
spa,Internal,1548
srp,External,44
srp,Internal,28
swe,External,239
swe,Internal,91
syr,External,1
tur,External,14
und,External,10211
und,Internal,3458
